iter	Passed	Remaining
0	2	2983
1	6	3068
2	9	3108
3	12	3086
4	15	3072
5	18	3131
6	22	3210
7	26	3240
8	29	3238
9	32	3197
10	35	3231
11	39	3240
12	42	3215
13	45	3215
14	48	3208
15	51	3168
16	55	3186
17	59	3220
18	62	3207
19	65	3212
20	68	3216
21	72	3226
22	75	3214
23	78	3190
24	81	3194
25	85	3200
26	88	3191
27	91	3171
28	94	3160
29	97	3160
30	101	3161
31	104	3155
32	107	3137
33	110	3132
34	113	3138
35	117	3143
36	120	3143
37	123	3127
38	126	3115
39	129	3103
40	132	3088
41	135	3091
42	138	3081
43	141	3072
44	144	3071
45	148	3081
46	151	3078
47	154	3066
48	158	3067
49	161	3067
50	164	3069
51	168	3072
52	171	3071
53	175	3076
54	178	3074
55	182	3081
56	186	3077
57	188	3065
58	192	3068
59	195	3066
60	199	3075
61	204	3092
62	208	3093
63	211	3091
64	215	3093
65	218	3092
66	221	3081
67	224	3079
68	227	3074
69	231	3072
70	234	3064
71	236	3053
72	240	3054
73	243	3052
74	247	3049
75	250	3043
76	253	3036
77	256	3031
78	259	3029
79	263	3029
80	266	3020
81	268	3010
82	271	3002
83	274	2995
84	277	2987
85	280	2982
86	283	2973
87	286	2972
88	290	2971
89	293	2970
90	296	2963
91	299	2955
92	302	2954
93	306	2950
94	309	2948
95	312	2945
96	315	2936
97	319	2938
98	322	2936
99	326	2935
100	329	2928
101	331	2920
102	334	2917
103	337	2910
104	340	2906
105	344	2907
106	347	2897
107	350	2893
108	352	2881
109	354	2871
110	358	2867
111	361	2862
112	363	2856
113	366	2851
114	369	2845
115	372	2841
116	375	2837
117	378	2831
118	382	2829
119	384	2823
120	387	2817
121	390	2812
122	393	2806
123	396	2802
124	399	2795
125	401	2788
126	405	2786
127	408	2780
128	410	2773
129	413	2769
130	416	2763
131	419	2758
132	423	2757
133	425	2751
134	428	2748
135	431	2744
136	434	2738
137	437	2735
138	440	2727
139	442	2719
140	445	2715
141	448	2710
142	452	2709
143	454	2703
144	457	2698
145	461	2697
146	464	2692
147	467	2690
148	470	2689
149	473	2683
150	476	2681
151	479	2677
152	483	2675
153	486	2673
154	489	2668
155	492	2664
156	495	2661
157	499	2659
158	502	2655
159	504	2650
160	507	2646
161	510	2641
162	513	2636
163	516	2633
164	519	2629
165	522	2623
166	524	2618
167	527	2613
168	530	2610
169	533	2605
170	536	2599
171	539	2599
172	542	2594
173	545	2589
174	548	2586
175	551	2583
176	554	2580
177	557	2575
178	560	2570
179	563	2564
180	566	2561
181	568	2556
182	571	2552
183	574	2547
184	577	2543
185	580	2539
186	582	2534
187	585	2530
188	588	2526
189	591	2522
190	595	2520
191	598	2517
192	601	2513
193	604	2510
194	607	2505
195	610	2503
196	613	2500
197	616	2497
198	619	2493
199	622	2490
200	626	2490
201	630	2489
202	633	2487
203	637	2486
204	640	2482
205	643	2481
206	647	2478
207	651	2479
208	654	2478
209	659	2481
210	662	2479
211	666	2477
212	670	2475
213	673	2473
214	677	2472
215	680	2468
216	683	2467
217	687	2464
218	690	2463
219	693	2459
220	696	2454
221	699	2450
222	702	2446
223	704	2441
224	707	2438
225	711	2435
226	714	2433
227	717	2430
228	721	2428
229	724	2425
230	727	2420
231	730	2417
232	732	2411
233	735	2406
234	738	2403
235	741	2399
236	743	2393
237	746	2390
238	750	2388
239	753	2385
240	755	2380
241	758	2376
242	762	2374
243	765	2371
244	769	2371
245	772	2367
246	775	2363
247	778	2359
248	780	2355
249	784	2352
250	787	2348
251	789	2344
252	793	2341
253	795	2337
254	798	2333
255	801	2329
256	804	2325
257	807	2321
258	810	2318
259	813	2314
260	816	2311
261	819	2307
262	822	2303
263	825	2301
264	828	2296
265	831	2294
266	834	2290
267	836	2285
268	840	2282
269	842	2278
270	845	2274
271	848	2271
272	851	2267
273	854	2263
274	857	2259
275	859	2255
276	863	2253
277	866	2249
278	869	2246
279	872	2244
280	876	2242
281	879	2239
282	882	2235
283	884	2231
284	888	2228
285	891	2224
286	894	2221
287	897	2218
288	901	2216
289	904	2213
290	907	2210
291	910	2207
292	913	2203
293	916	2199
294	919	2197
295	922	2193
296	925	2191
297	928	2187
298	931	2183
299	933	2179
300	936	2175
301	939	2171
302	942	2167
303	945	2163
304	947	2159
305	951	2157
306	954	2154
307	957	2151
308	961	2149
309	963	2144
310	966	2141
311	969	2137
312	972	2134
313	975	2131
314	978	2128
315	981	2124
316	985	2122
317	988	2119
318	992	2117
319	995	2114
320	998	2111
321	1000	2107
322	1004	2104
323	1007	2102
324	1010	2098
325	1013	2095
326	1016	2092
327	1019	2088
328	1022	2085
329	1025	2082
330	1028	2078
331	1031	2075
332	1034	2072
333	1038	2070
334	1042	2068
335	1045	2065
336	1048	2062
337	1050	2058
338	1053	2054
339	1055	2049
340	1058	2045
341	1062	2043
342	1064	2039
343	1067	2035
344	1070	2032
345	1072	2027
346	1075	2023
347	1078	2021
348	1081	2017
349	1084	2013
350	1087	2010
351	1090	2007
352	1093	2004
353	1096	2000
354	1099	1997
355	1102	1994
356	1105	1990
357	1108	1987
358	1111	1983
359	1113	1979
360	1117	1977
361	1120	1973
362	1122	1970
363	1126	1967
364	1129	1964
365	1132	1961
366	1135	1958
367	1138	1955
368	1141	1951
369	1144	1948
370	1147	1945
371	1150	1943
372	1154	1939
373	1157	1937
374	1161	1935
375	1164	1933
376	1168	1931
377	1171	1927
378	1174	1924
379	1177	1920
380	1180	1917
381	1183	1914
382	1186	1910
383	1189	1907
384	1192	1904
385	1195	1901
386	1198	1898
387	1201	1894
388	1204	1891
389	1207	1888
390	1210	1884
391	1213	1882
392	1216	1878
393	1218	1874
394	1221	1871
395	1225	1868
396	1228	1865
397	1231	1862
398	1233	1858
399	1236	1855
400	1239	1851
401	1242	1848
402	1245	1845
403	1248	1841
404	1251	1838
405	1254	1835
406	1257	1832
407	1260	1829
408	1263	1825
409	1266	1822
410	1269	1819
411	1272	1816
412	1275	1812
413	1278	1809
414	1281	1806
415	1284	1802
416	1287	1799
417	1289	1795
418	1292	1792
419	1294	1788
420	1297	1784
421	1300	1781
422	1303	1778
423	1307	1776
424	1310	1772
425	1312	1768
426	1315	1765
427	1318	1762
428	1321	1759
429	1324	1756
430	1327	1752
431	1330	1750
432	1333	1746
433	1336	1742
434	1339	1740
435	1342	1736
436	1345	1733
437	1349	1730
438	1351	1727
439	1355	1725
440	1358	1722
441	1362	1719
442	1365	1716
443	1367	1713
444	1371	1709
445	1373	1706
446	1376	1703
447	1379	1700
448	1382	1696
449	1385	1693
450	1388	1689
451	1390	1686
452	1393	1683
453	1396	1679
454	1399	1676
455	1402	1673
456	1405	1670
457	1408	1666
458	1411	1663
459	1414	1660
460	1417	1657
461	1421	1654
462	1423	1651
463	1426	1648
464	1429	1644
465	1433	1642
466	1437	1640
467	1440	1637
468	1443	1634
469	1446	1631
470	1449	1628
471	1452	1625
472	1455	1621
473	1458	1618
474	1461	1615
475	1464	1612
476	1468	1609
477	1470	1606
478	1474	1603
479	1476	1600
480	1479	1596
481	1483	1594
482	1486	1590
483	1489	1587
484	1492	1584
485	1495	1581
486	1498	1578
487	1501	1575
488	1504	1572
489	1507	1568
490	1510	1565
491	1513	1562
492	1516	1559
493	1519	1556
494	1522	1552
495	1524	1549
496	1527	1546
497	1530	1543
498	1533	1539
499	1536	1536
500	1539	1533
501	1542	1529
502	1545	1526
503	1548	1523
504	1551	1520
505	1555	1518
506	1557	1514
507	1561	1512
508	1564	1508
509	1566	1505
510	1569	1502
511	1572	1498
512	1576	1496
513	1581	1495
514	1584	1492
515	1587	1489
516	1590	1486
517	1594	1483
518	1597	1480
519	1600	1477
520	1604	1474
521	1607	1471
522	1610	1469
523	1613	1465
524	1616	1462
525	1619	1459
526	1621	1455
527	1624	1451
528	1626	1448
529	1629	1445
530	1633	1442
531	1636	1439
532	1640	1437
533	1643	1434
534	1646	1430
535	1649	1428
536	1653	1425
537	1657	1423
538	1660	1420
539	1663	1417
540	1666	1414
541	1669	1410
542	1673	1408
543	1675	1404
544	1679	1401
545	1681	1398
546	1684	1395
547	1688	1392
548	1691	1389
549	1694	1386
550	1697	1383
551	1700	1379
552	1702	1376
553	1705	1372
554	1707	1369
555	1711	1366
556	1713	1363
557	1717	1360
558	1720	1357
559	1723	1354
560	1726	1351
561	1729	1347
562	1732	1345
563	1735	1341
564	1738	1338
565	1741	1335
566	1744	1332
567	1747	1329
568	1751	1326
569	1754	1323
570	1757	1320
571	1767	1322
572	1772	1320
573	1777	1318
574	1781	1316
575	1785	1314
576	1789	1311
577	1792	1308
578	1796	1306
579	1799	1303
580	1802	1300
581	1805	1296
582	1808	1293
583	1812	1290
584	1815	1287
585	1817	1284
586	1821	1281
587	1824	1278
588	1828	1275
589	1831	1272
590	1835	1269
591	1837	1266
592	1840	1263
593	1844	1260
594	1847	1257
595	1849	1254
596	1853	1251
597	1856	1248
598	1860	1245
599	1863	1242
600	1866	1239
601	1869	1236
602	1872	1232
603	1876	1230
604	1879	1226
605	1882	1223
606	1885	1220
607	1887	1217
608	1891	1214
609	1894	1211
610	1897	1207
611	1900	1205
612	1903	1201
613	1906	1198
614	1909	1195
615	1913	1192
616	1916	1189
617	1919	1186
